VCD info: dumpfile report/waveform.vcd opened for output.
                   0   x *  x =    x _______ A:xxxx, XB:0000xxxx, state = 0, next_state = x, count = 4 , B0,B-1 = x0, out_ready = 0
                 600   1 * -5 =   18 _______ A:0110, XB:00000011, state = 0, next_state = 4, count = 4 , B0,B-1 = 10, out_ready = 0
                 602   1 * -5 =   18 _______ A:0001, XB:00001011, state = 4, next_state = 2, count = 4 , B0,B-1 = 10, out_ready = 0
                 606   1 * -5 =   18 _______ A:0001, XB:00001011, state = 2, next_state = 3, count = 4 , B0,B-1 = 10, out_ready = 0
                 610   1 * -5 =   18 _______ A:0001, XB:11111011, state = 3, next_state = 4, count = 4 , B0,B-1 = 10, out_ready = 0
                 614   1 * -5 =   18 _______ A:0001, XB:11111101, state = 4, next_state = 3, count = 3 , B0,B-1 = 11, out_ready = 0
                 618   1 * -5 =   18 _______ A:0001, XB:11111101, state = 3, next_state = 4, count = 3 , B0,B-1 = 11, out_ready = 0
                 622   1 * -5 =   18 _______ A:0001, XB:11111110, state = 4, next_state = 1, count = 2 , B0,B-1 = 01, out_ready = 0
                 626   1 * -5 =   18 _______ A:0001, XB:11111110, state = 1, next_state = 3, count = 2 , B0,B-1 = 01, out_ready = 0
                 630   1 * -5 =   18 _______ A:0001, XB:00001110, state = 3, next_state = 4, count = 2 , B0,B-1 = 01, out_ready = 0
                 634   1 * -5 =   18 _______ A:0001, XB:00000111, state = 4, next_state = 2, count = 1 , B0,B-1 = 10, out_ready = 0
                 638   1 * -5 =   18 _______ A:0001, XB:00000111, state = 2, next_state = 3, count = 1 , B0,B-1 = 10, out_ready = 0
                 642   1 * -5 =   18 _______ A:0001, XB:11110111, state = 3, next_state = 4, count = 1 , B0,B-1 = 10, out_ready = 0
                 646   1 * -5 =   -5 _______ A:0001, XB:11111011, state = 4, next_state = 3, count = 0 , B0,B-1 = 11, out_ready = 1
                 650   1 * -5 =   -5 _______ A:0001, XB:00001011, state = 0, next_state = 4, count = 4 , B0,B-1 = 10, out_ready = 0
                 655   0 * -8 =   -5 _______ A:0001, XB:00001011, state = 0, next_state = 4, count = 4 , B0,B-1 = 10, out_ready = 0
                 658   0 * -8 =   -5 _______ A:0000, XB:00001000, state = 4, next_state = 3, count = 4 , B0,B-1 = 00, out_ready = 0
                 662   0 * -8 =   -5 _______ A:0000, XB:00001000, state = 3, next_state = 4, count = 4 , B0,B-1 = 00, out_ready = 0
                 666   0 * -8 =   -5 _______ A:0000, XB:00000100, state = 4, next_state = 3, count = 3 , B0,B-1 = 00, out_ready = 0
                 670   0 * -8 =   -5 _______ A:0000, XB:00000100, state = 3, next_state = 4, count = 3 , B0,B-1 = 00, out_ready = 0
                 674   0 * -8 =   -5 _______ A:0000, XB:00000010, state = 4, next_state = 3, count = 2 , B0,B-1 = 00, out_ready = 0
                 678   0 * -8 =   -5 _______ A:0000, XB:00000010, state = 3, next_state = 4, count = 2 , B0,B-1 = 00, out_ready = 0
                 682   0 * -8 =   -5 _______ A:0000, XB:00000001, state = 4, next_state = 2, count = 1 , B0,B-1 = 10, out_ready = 0
                 686   0 * -8 =   -5 _______ A:0000, XB:00000001, state = 2, next_state = 3, count = 1 , B0,B-1 = 10, out_ready = 0
                 690   0 * -8 =   -5 _______ A:0000, XB:00000001, state = 3, next_state = 4, count = 1 , B0,B-1 = 10, out_ready = 0
                 694   0 * -8 =    0 _______ A:0000, XB:00000000, state = 4, next_state = 1, count = 0 , B0,B-1 = 01, out_ready = 1
                 695   0 * -8 =    0 _______ A:0000, XB:00001000, state = 0, next_state = 4, count = 4 , B0,B-1 = 00, out_ready = 0
                 700  -3 * -4 =    0 _______ A:0000, XB:00001000, state = 0, next_state = 4, count = 4 , B0,B-1 = 00, out_ready = 0
                 702  -3 * -4 =    0 _______ A:1101, XB:00001100, state = 4, next_state = 3, count = 4 , B0,B-1 = 00, out_ready = 0
                 706  -3 * -4 =    0 _______ A:1101, XB:00001100, state = 3, next_state = 4, count = 4 , B0,B-1 = 00, out_ready = 0
                 710  -3 * -4 =    0 _______ A:1101, XB:00000110, state = 4, next_state = 3, count = 3 , B0,B-1 = 00, out_ready = 0
                 714  -3 * -4 =    0 _______ A:1101, XB:00000110, state = 3, next_state = 4, count = 3 , B0,B-1 = 00, out_ready = 0
                 718  -3 * -4 =    0 _______ A:1101, XB:00000011, state = 4, next_state = 2, count = 2 , B0,B-1 = 10, out_ready = 0
                 722  -3 * -4 =    0 _______ A:1101, XB:00000011, state = 2, next_state = 3, count = 2 , B0,B-1 = 10, out_ready = 0
                 726  -3 * -4 =    0 _______ A:1101, XB:00110011, state = 3, next_state = 4, count = 2 , B0,B-1 = 10, out_ready = 0
                 730  -3 * -4 =    0 _______ A:1101, XB:00011001, state = 4, next_state = 3, count = 1 , B0,B-1 = 11, out_ready = 0
                 734  -3 * -4 =    0 _______ A:1101, XB:00011001, state = 3, next_state = 4, count = 1 , B0,B-1 = 11, out_ready = 0
                 738  -3 * -4 =   12 _______ A:1101, XB:00001100, state = 4, next_state = 1, count = 0 , B0,B-1 = 01, out_ready = 1
                 740  -3 * -4 =   12 _______ A:1101, XB:00001100, state = 0, next_state = 4, count = 4 , B0,B-1 = 00, out_ready = 0
                 745  -3 *  1 =   12 _______ A:1101, XB:00001100, state = 0, next_state = 4, count = 4 , B0,B-1 = 00, out_ready = 0
                 746  -3 *  1 =   12 _______ A:1101, XB:00000001, state = 4, next_state = 2, count = 4 , B0,B-1 = 10, out_ready = 0
                 750  -3 *  1 =   12 _______ A:1101, XB:00000001, state = 2, next_state = 3, count = 4 , B0,B-1 = 10, out_ready = 0
                 754  -3 *  1 =   12 _______ A:1101, XB:00110001, state = 3, next_state = 4, count = 4 , B0,B-1 = 10, out_ready = 0
                 758  -3 *  1 =   12 _______ A:1101, XB:00011000, state = 4, next_state = 1, count = 3 , B0,B-1 = 01, out_ready = 0
                 762  -3 *  1 =   12 _______ A:1101, XB:00011000, state = 1, next_state = 3, count = 3 , B0,B-1 = 01, out_ready = 0
                 766  -3 *  1 =   12 _______ A:1101, XB:11101000, state = 3, next_state = 4, count = 3 , B0,B-1 = 01, out_ready = 0
